Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,1502.4065538260547,1506.4672903697615,1498.3065570541805,1502.4835707650561,1502.4835707650561,1727467
2020-01-02,1501.4469946593185,1506.4966886215652,1496.970717567643,1501.7922492592002,1501.7922492592002,1455796
2020-01-03,1506.798011824677,1509.1241951316576,1500.1058332396626,1505.0306919497036,1505.0306919497036,3998851
2020-01-06,1513.9504869885707,1520.5507763006854,1511.1082438386336,1512.6458412317438,1512.6458412317438,4661306
2020-01-07,1508.3222900441585,1517.1285638873317,1503.4851979032208,1511.4750743581271,1511.4750743581271,3023969
2020-01-08,1513.2574702728332,1515.905338292603,1505.22173830884,1510.3043895733813,1510.3043895733813,1997057
2020-01-09,1520.9606363592131,1524.444867939005,1512.3144493900236,1518.2004536509182,1518.2004536509182,2087812
2020-01-10,1520.7865018936636,1524.7599610611212,1515.1345277555347,1522.0376272966828,1522.0376272966828,2314870
2020-01-13,1520.4818624338827,1526.7684789418486,1516.7325802821285,1519.690255367008,1519.690255367008,4519241
2020-01-14,1523.3911159575034,1527.251527011867,1516.4561117868675,1522.4030555849379,1522.4030555849379,3903007
2020-01-15,1520.6073146525232,1526.4269283553579,1515.621249302673,1520.0859671208755,1520.0859671208755,4674153
2020-01-16,1516.6567080453333,1520.6136038869438,1511.0637768025913,1517.7573183530242,1517.7573183530242,1554280
2020-01-17,1517.6238829749782,1520.8596121788223,1518.2215845515573,1518.9671297108544,1518.9671297108544,2945548
2020-01-20,1509.3496203455825,1516.0365078036155,1504.598917088048,1509.4007284875654,1509.4007284875654,4109094
2020-01-21,1503.121597363519,1506.5289583771953,1496.9817806365681,1500.7761393250003,1500.7761393250003,3212292
2020-01-22,1499.0519019879841,1501.1605985700803,1492.100175777527,1497.9647016787953,1497.9647016787953,1175993
2020-01-23,1492.159317412951,1496.1612199145738,1486.9604577023867,1492.9005460771232,1492.9005460771232,2694089
2020-01-24,1496.0151801613963,1501.7226523089291,1490.8870345297437,1494.4717827400996,1494.4717827400996,4618313
2020-01-27,1484.2345771212335,1492.5528385767589,1486.3560100908458,1489.9316623624936,1489.9316623624936,3950501
2020-01-28,1485.1676752565613,1491.1554897623291,1478.0914745929317,1482.870143855817,1482.870143855817,2384410
2020-01-29,1486.7189601428688,1493.3971462311292,1486.9916721550553,1490.198387700425,1490.198387700425,2344955
2020-01-30,1488.344624315186,1495.346290049209,1482.385538807088,1489.0695061979923,1489.0695061979923,3307199
2020-01-31,1487.1678074321796,1493.749910269934,1485.1455616223268,1489.4071472214318,1489.4071472214318,2591986
2020-02-03,1479.6940433389227,1488.4897811525293,1483.097382729008,1482.2834062903646,1482.2834062903646,1286100
2020-02-04,1481.8831462424955,1483.4732646635102,1475.3111367809822,1479.5614926677385,1479.5614926677385,1063879
2020-02-05,1479.1807032136642,1484.7905198041435,1477.193193257976,1480.116105616288,1480.116105616288,3680000
2020-02-06,1475.0541454926379,1479.4429760799678,1472.6236893600983,1474.3611377291763,1474.3611377291763,4136091
2020-02-07,1476.1457866631465,1479.2352529093419,1473.71448109735,1476.2396278209048,1476.2396278209048,3048880
2020-02-10,1474.190516025757,1479.718083062151,1468.0176174276448,1473.2364343713107,1473.2364343713107,3469606
2020-02-11,1471.931609404465,1475.7515384894014,1464.120683965848,1471.7779656223445,1471.7779656223445,1724045
2020-02-12,1466.2034481128203,1473.3122327305173,1463.1430636134673,1468.7694325611974,1468.7694325611974,4039316
2020-02-13,1480.0233571226363,1481.042124734525,1474.2438302601736,1478.030823483742,1478.030823483742,2045533
2020-02-14,1476.97582419373,1477.838670042462,1472.0515289697112,1477.9633373600525,1477.9633373600525,2285844
2020-02-17,1469.5616189179534,1477.2927271900726,1468.592963335711,1472.6747827152728,1472.6747827152728,1479280
2020-02-18,1475.931276953857,1486.6127381190147,1473.176708014115,1476.7875072757888,1476.7875072757888,2556232
2020-02-19,1473.6848086072025,1477.2524976017298,1467.9920143624,1470.6832890259338,1470.6832890259338,1787600
2020-02-20,1473.4280504851845,1476.6890862414887,1470.231264614461,1471.7276070009575,1471.7276070009575,1307268
2020-02-21,1461.2319521127429,1466.4034747231422,1457.7091037946775,1461.9292563815586,1461.9292563815586,4836985
2020-02-24,1454.5898107284295,1460.3332579226906,1449.9722191572262,1455.2883261370664,1455.2883261370664,3767544
2020-02-25,1455.6293622139772,1462.3668705467624,1451.4658796564418,1456.272632316412,1456.272632316412,2363517
2020-02-26,1464.1184611835108,1462.6033395857714,1455.7968990722838,1459.9649652163891,1459.9649652163891,4967454
2020-02-27,1461.585677526802,1468.0504500116767,1457.7132987437326,1460.821806622339,1460.821806622339,2485619
2020-02-28,1461.1036485047798,1466.6743278412803,1454.0270728270277,1460.2435652103977,1460.2435652103977,2838524
2020-03-02,1460.798613640515,1465.1744181838671,1456.3723105723445,1458.7380467324513,1458.7380467324513,2199399
2020-03-03,1451.8230150986672,1457.2223882582337,1444.7933809529272,1451.3454367806141,1451.3454367806141,3651813
2020-03-04,1447.2281314469994,1452.7854490540287,1444.7506497764941,1447.7462157386408,1447.7462157386408,1122026
2020-03-05,1445.0503221856718,1451.7887443557754,1441.9478923585477,1445.4430218838418,1445.4430218838418,4175998
2020-03-06,1450.5854304961083,1456.9122612824192,1448.6622033961678,1450.7286330149363,1450.7286330149363,1927890
2020-03-09,1452.372279989759,1456.7386430408965,1448.4495287565499,1452.4467244627785,1452.4467244627785,2281507
2020-03-10,1445.086782773239,1447.4843201401711,1436.680898769009,1443.631523685965,1443.631523685965,2768753
2020-03-11,1445.3558353045535,1450.4556561234629,1439.220687356051,1445.2519435329389,1445.2519435329389,4210912
2020-03-12,1444.7918122852886,1451.4245724338477,1436.3696879068013,1443.3265321308575,1443.3265321308575,3604684
2020-03-13,1439.7804889691104,1442.4637079780198,1433.8976370374598,1439.9419221293276,1439.9419221293276,1735053
2020-03-16,1443.157573954164,1445.065253042027,1440.2076432305926,1443.000303573532,1443.000303573532,1562167
2020-03-17,1444.1588998169475,1453.4848228684848,1443.8168796346667,1448.1553011860117,1448.1553011860117,4119712
2020-03-18,1454.6443571309976,1457.9134771853046,1449.3721000398275,1452.8117017815925,1452.8117017815925,1311741
2020-03-19,1449.3085911172755,1453.9622974942201,1440.9544643574013,1448.6156141654794,1448.6156141654794,1956636
2020-03-20,1449.0655725059428,1452.5574586820403,1444.463129579076,1447.0695522862234,1447.0695522862234,1003626
2020-03-23,1442.9333586868538,1453.2794649339717,1441.938474064463,1448.7258694432412,1448.7258694432412,2658800
2020-03-24,1457.7803444884144,1461.5833219560573,1446.8176873386356,1453.603595078853,1453.603595078853,2543971
2020-03-25,1450.9285446333163,1453.0059159326736,1442.5484834861943,1451.2077238896265,1451.2077238896265,2807737
2020-03-26,1452.4957946397826,1453.622434956747,1446.0988021915664,1450.2794290063075,1450.2794290063075,4751531
2020-03-27,1442.6679422820262,1449.5412446159792,1438.323109817117,1444.7477541362773,1444.7477541362773,3305289
2020-03-30,1439.9922688259992,1440.4803433935658,1429.2034173427965,1438.766721015874,1438.766721015874,4725406
2020-03-31,1440.7225190014976,1447.477641318981,1439.0646334817122,1442.829350127845,1442.829350127845,4031301
2020-04-01,1448.3630123493076,1457.9334906021552,1447.680630765764,1449.6105502706992,1449.6105502706992,3844472
2020-04-02,1453.078562370531,1454.2922726393895,1448.010519730613,1449.2504996627974,1449.2504996627974,2627008
2020-04-03,1453.8867993507308,1459.7295659636948,1447.8427400945347,1454.2681641522574,1454.2681641522574,1144454
2020-04-06,1456.5112100238553,1458.5560147471506,1454.842644693613,1456.0763442774958,1456.0763442774958,4674041
2020-04-07,1454.5908809658476,1456.6180226883912,1448.5953836103458,1452.85074550447,1452.85074550447,1436442
2020-04-08,1455.6490873079574,1458.9073307713643,1448.7830971579342,1454.6577235320121,1454.6577235320121,4487252
2020-04-09,1462.6487441746292,1466.7124761708294,1456.9775552906822,1462.347906364342,1462.347906364342,1254043
